[0] Time Stamp,Level,Pid,Tid,Stream,Instance,ActivityId,File,Function,Line,MDRESULT,ErrorCode,ErrorCodeMsg,Message,ErrorType,traceparentId
2020-11-24T11:27:28.5614474Z,4,19336,14736,"MonAgentManager.exe",0,"00-5ba02c204220431995da2504c8e91498-4d2e4c3a127bf04d-00","monagentmanager.cpp","AgentManager::InitializeDirectories",1857,0,0,,"Agent working directory is C:\Users\saianu\.nuget\packages\genevamonitoringagent\44.7.7\Monitoring\Agent; running from deployment directory","Infrastructure","4d2e4c3a127bf04d"
2020-11-24T11:27:28.5646430Z,4,19336,14736,"TableWriter",2,"00-5ba02c204220431995da2504c8e91498-4d2e4c3a127bf04d-00","table.cpp","TML::MDTableWriter::CreateTableEx",2609,-2147352575,0,,"Table D:\Samples\madata\Tables\MaTelemetryEvents does not exist or is being deleted, CreationDisposition = 4","LocalState","4d2e4c3a127bf04d"
2020-11-24T11:27:28.5646971Z,4,19336,24588,"MonAgentManager.exe",0,"00-b7d0b5158c2642df8d7f76ebf6e3e7f9-4d2e4c3a127bf04d-00","monagentmanager.cpp","AgentManager::ParentDetectCb",375,0,0,,"Waiting for parent process 18368 of the manager to terminate.","Infrastructure","4d2e4c3a127bf04d"
2020-11-24T11:27:28.5658746Z,4,19336,14736,"TableWriter",2,"00-5ba02c204220431995da2504c8e91498-4d2e4c3a127bf04d-00","table.h","TML::MDTable::SetupDiskQuota",1343,0,0,,"Disk quota for table MaTelemetryEvents is 100MB","LocalState","4d2e4c3a127bf04d"
2020-11-24T11:27:28.5658770Z,4,19336,14736,"TableWriter",2,"00-5ba02c204220431995da2504c8e91498-4d2e4c3a127bf04d-00","table.h","TML::MDTable::SetupRetentionHours",1365,0,0,,"Retention limit for table MaTelemetryEvents is 31536000s","LocalState","4d2e4c3a127bf04d"
2020-11-24T11:27:28.5659721Z,4,19336,14736,"TableWriter",2,"00-5ba02c204220431995da2504c8e91498-4d2e4c3a127bf04d-00","table.cpp","TML::MDTableWriter::CreateTableEx",2478,0,0,,"Table D:\Samples\madata\Tables\MaTelemetryEvents is managed outside of MA; turning on table write validation","LocalState","4d2e4c3a127bf04d"
2020-11-24T11:27:28.5664974Z,4,19336,14736,"TableWriter",2,"00-5ba02c204220431995da2504c8e91498-4d2e4c3a127bf04d-00","table.h","TML::MDTable::SetupDiskQuota",1343,0,0,,"Disk quota for table MaTelemetryEvents is 100MB","LocalState","4d2e4c3a127bf04d"
2020-11-24T11:27:28.5668992Z,4,19336,14736,"TableWriter",2,"00-5ba02c204220431995da2504c8e91498-4d2e4c3a127bf04d-00","table.cpp","TML::MDTableWriter::AddTableSchema",2800,0,0,,"Successfully add schema in table D:\Samples\madata\Tables\MaTelemetryEvents","LocalState","4d2e4c3a127bf04d"
2020-11-24T11:27:28.5670849Z,4,19336,14736,"TableWriter",2,"00-5ba02c204220431995da2504c8e91498-4d2e4c3a127bf04d-00","table.cpp","TML::MDTableWriter::AddTableSchema",2800,0,0,,"Successfully add schema in table D:\Samples\madata\Tables\MaTelemetryEvents","LocalState","4d2e4c3a127bf04d"
2020-11-24T11:27:28.5672741Z,4,19336,14736,"TableWriter",2,"00-5ba02c204220431995da2504c8e91498-4d2e4c3a127bf04d-00","table.cpp","TML::MDTableWriter::AddTableSchema",2800,0,0,,"Successfully add schema in table D:\Samples\madata\Tables\MaTelemetryEvents","LocalState","4d2e4c3a127bf04d"
2020-11-24T11:27:28.5674289Z,4,19336,14736,"TableWriter",2,"00-5ba02c204220431995da2504c8e91498-4d2e4c3a127bf04d-00","table.cpp","TML::MDTableWriter::AddTableSchema",2800,0,0,,"Successfully add schema in table D:\Samples\madata\Tables\MaTelemetryEvents","LocalState","4d2e4c3a127bf04d"
